,words,messages,ids,urls
0,Gotcha,"Gotcha :slight_smile:
Yeah - I was specifically looking for a way to ""debug"" each iteration of an algorithm, so I wanted to inspect how each iteration effects the aggregators.

Thanks a lot for your time @rik and @mingxiwu!
I really appreciate it!",1796,https://community.tigergraph.com/t/debug-printing-vertices-content/624
1,:slight_smile:,"Gotcha :slight_smile:
Yeah - I was specifically looking for a way to ""debug"" each iteration of an algorithm, so I wanted to inspect how each iteration effects the aggregators.

Thanks a lot for your time @rik and @mingxiwu!
I really appreciate it!",1796,https://community.tigergraph.com/t/debug-printing-vertices-content/624
2,Yeah,"Gotcha :slight_smile:
Yeah - I was specifically looking for a way to ""debug"" each iteration of an algorithm, so I wanted to inspect how each iteration effects the aggregators.

Thanks a lot for your time @rik and @mingxiwu!
I really appreciate it!",1796,https://community.tigergraph.com/t/debug-printing-vertices-content/624
3,-,"Gotcha :slight_smile:
Yeah - I was specifically looking for a way to ""debug"" each iteration of an algorithm, so I wanted to inspect how each iteration effects the aggregators.

Thanks a lot for your time @rik and @mingxiwu!
I really appreciate it!",1796,https://community.tigergraph.com/t/debug-printing-vertices-content/624
4,I,"Gotcha :slight_smile:
Yeah - I was specifically looking for a way to ""debug"" each iteration of an algorithm, so I wanted to inspect how each iteration effects the aggregators.

Thanks a lot for your time @rik and @mingxiwu!
I really appreciate it!",1796,https://community.tigergraph.com/t/debug-printing-vertices-content/624
5,was,"Gotcha :slight_smile:
Yeah - I was specifically looking for a way to ""debug"" each iteration of an algorithm, so I wanted to inspect how each iteration effects the aggregators.

Thanks a lot for your time @rik and @mingxiwu!
I really appreciate it!",1796,https://community.tigergraph.com/t/debug-printing-vertices-content/624
6,specifically,"Gotcha :slight_smile:
Yeah - I was specifically looking for a way to ""debug"" each iteration of an algorithm, so I wanted to inspect how each iteration effects the aggregators.

Thanks a lot for your time @rik and @mingxiwu!
I really appreciate it!",1796,https://community.tigergraph.com/t/debug-printing-vertices-content/624
7,looking,"Gotcha :slight_smile:
Yeah - I was specifically looking for a way to ""debug"" each iteration of an algorithm, so I wanted to inspect how each iteration effects the aggregators.

Thanks a lot for your time @rik and @mingxiwu!
I really appreciate it!",1796,https://community.tigergraph.com/t/debug-printing-vertices-content/624
8,for,"Gotcha :slight_smile:
Yeah - I was specifically looking for a way to ""debug"" each iteration of an algorithm, so I wanted to inspect how each iteration effects the aggregators.

Thanks a lot for your time @rik and @mingxiwu!
I really appreciate it!",1796,https://community.tigergraph.com/t/debug-printing-vertices-content/624
9,a,"Gotcha :slight_smile:
Yeah - I was specifically looking for a way to ""debug"" each iteration of an algorithm, so I wanted to inspect how each iteration effects the aggregators.

Thanks a lot for your time @rik and @mingxiwu!
I really appreciate it!",1796,https://community.tigergraph.com/t/debug-printing-vertices-content/624
10,way,"Gotcha :slight_smile:
Yeah - I was specifically looking for a way to ""debug"" each iteration of an algorithm, so I wanted to inspect how each iteration effects the aggregators.

Thanks a lot for your time @rik and @mingxiwu!
I really appreciate it!",1796,https://community.tigergraph.com/t/debug-printing-vertices-content/624
11,to,"Gotcha :slight_smile:
Yeah - I was specifically looking for a way to ""debug"" each iteration of an algorithm, so I wanted to inspect how each iteration effects the aggregators.

Thanks a lot for your time @rik and @mingxiwu!
I really appreciate it!",1796,https://community.tigergraph.com/t/debug-printing-vertices-content/624
12,"""debug""","Gotcha :slight_smile:
Yeah - I was specifically looking for a way to ""debug"" each iteration of an algorithm, so I wanted to inspect how each iteration effects the aggregators.

Thanks a lot for your time @rik and @mingxiwu!
I really appreciate it!",1796,https://community.tigergraph.com/t/debug-printing-vertices-content/624
13,each,"Gotcha :slight_smile:
Yeah - I was specifically looking for a way to ""debug"" each iteration of an algorithm, so I wanted to inspect how each iteration effects the aggregators.

Thanks a lot for your time @rik and @mingxiwu!
I really appreciate it!",1796,https://community.tigergraph.com/t/debug-printing-vertices-content/624
