,words,ids,urls,messages
0,It,1800,https://community.tigergraph.com/t/how-to-sum-over-a-vertexs-attribute/630,"It will look a little like the following. I recommend the GSQL101 course to get a primer on what accumulators are and how they work. It is one of TG's super-powers!  `CREATE QUERY Member_Count_Active_CAGs(String Client_name) FOR GRAPH CAG_Contract_Graph{`      SumAccum <INT> @@sum_CAGS;      #Begin by initializing the set of all contracts     pp = {CAG.*};      #Get the number of specific type of CAG for a given client     pp = SELECT p     FROM pp:p      WHERE p.Search_Company == Client_name and p.Active_or_InActive == “Active”     POST-ACCUM @@sum_CAGS += p.Mbr_count;      PRINT ""Total Member Count of Active CAGs for "" + Client_name+ "" is "" + to_string(@@sum_CAGS);     PRINT @@sum_CAGS;     }"
1,will,1800,https://community.tigergraph.com/t/how-to-sum-over-a-vertexs-attribute/630,"It will look a little like the following. I recommend the GSQL101 course to get a primer on what accumulators are and how they work. It is one of TG's super-powers!  `CREATE QUERY Member_Count_Active_CAGs(String Client_name) FOR GRAPH CAG_Contract_Graph{`      SumAccum <INT> @@sum_CAGS;      #Begin by initializing the set of all contracts     pp = {CAG.*};      #Get the number of specific type of CAG for a given client     pp = SELECT p     FROM pp:p      WHERE p.Search_Company == Client_name and p.Active_or_InActive == “Active”     POST-ACCUM @@sum_CAGS += p.Mbr_count;      PRINT ""Total Member Count of Active CAGs for "" + Client_name+ "" is "" + to_string(@@sum_CAGS);     PRINT @@sum_CAGS;     }"
2,look,1800,https://community.tigergraph.com/t/how-to-sum-over-a-vertexs-attribute/630,"It will look a little like the following. I recommend the GSQL101 course to get a primer on what accumulators are and how they work. It is one of TG's super-powers!  `CREATE QUERY Member_Count_Active_CAGs(String Client_name) FOR GRAPH CAG_Contract_Graph{`      SumAccum <INT> @@sum_CAGS;      #Begin by initializing the set of all contracts     pp = {CAG.*};      #Get the number of specific type of CAG for a given client     pp = SELECT p     FROM pp:p      WHERE p.Search_Company == Client_name and p.Active_or_InActive == “Active”     POST-ACCUM @@sum_CAGS += p.Mbr_count;      PRINT ""Total Member Count of Active CAGs for "" + Client_name+ "" is "" + to_string(@@sum_CAGS);     PRINT @@sum_CAGS;     }"
3,a,1800,https://community.tigergraph.com/t/how-to-sum-over-a-vertexs-attribute/630,"It will look a little like the following. I recommend the GSQL101 course to get a primer on what accumulators are and how they work. It is one of TG's super-powers!  `CREATE QUERY Member_Count_Active_CAGs(String Client_name) FOR GRAPH CAG_Contract_Graph{`      SumAccum <INT> @@sum_CAGS;      #Begin by initializing the set of all contracts     pp = {CAG.*};      #Get the number of specific type of CAG for a given client     pp = SELECT p     FROM pp:p      WHERE p.Search_Company == Client_name and p.Active_or_InActive == “Active”     POST-ACCUM @@sum_CAGS += p.Mbr_count;      PRINT ""Total Member Count of Active CAGs for "" + Client_name+ "" is "" + to_string(@@sum_CAGS);     PRINT @@sum_CAGS;     }"
4,little,1800,https://community.tigergraph.com/t/how-to-sum-over-a-vertexs-attribute/630,"It will look a little like the following. I recommend the GSQL101 course to get a primer on what accumulators are and how they work. It is one of TG's super-powers!  `CREATE QUERY Member_Count_Active_CAGs(String Client_name) FOR GRAPH CAG_Contract_Graph{`      SumAccum <INT> @@sum_CAGS;      #Begin by initializing the set of all contracts     pp = {CAG.*};      #Get the number of specific type of CAG for a given client     pp = SELECT p     FROM pp:p      WHERE p.Search_Company == Client_name and p.Active_or_InActive == “Active”     POST-ACCUM @@sum_CAGS += p.Mbr_count;      PRINT ""Total Member Count of Active CAGs for "" + Client_name+ "" is "" + to_string(@@sum_CAGS);     PRINT @@sum_CAGS;     }"
5,like,1800,https://community.tigergraph.com/t/how-to-sum-over-a-vertexs-attribute/630,"It will look a little like the following. I recommend the GSQL101 course to get a primer on what accumulators are and how they work. It is one of TG's super-powers!  `CREATE QUERY Member_Count_Active_CAGs(String Client_name) FOR GRAPH CAG_Contract_Graph{`      SumAccum <INT> @@sum_CAGS;      #Begin by initializing the set of all contracts     pp = {CAG.*};      #Get the number of specific type of CAG for a given client     pp = SELECT p     FROM pp:p      WHERE p.Search_Company == Client_name and p.Active_or_InActive == “Active”     POST-ACCUM @@sum_CAGS += p.Mbr_count;      PRINT ""Total Member Count of Active CAGs for "" + Client_name+ "" is "" + to_string(@@sum_CAGS);     PRINT @@sum_CAGS;     }"
6,the,1800,https://community.tigergraph.com/t/how-to-sum-over-a-vertexs-attribute/630,"It will look a little like the following. I recommend the GSQL101 course to get a primer on what accumulators are and how they work. It is one of TG's super-powers!  `CREATE QUERY Member_Count_Active_CAGs(String Client_name) FOR GRAPH CAG_Contract_Graph{`      SumAccum <INT> @@sum_CAGS;      #Begin by initializing the set of all contracts     pp = {CAG.*};      #Get the number of specific type of CAG for a given client     pp = SELECT p     FROM pp:p      WHERE p.Search_Company == Client_name and p.Active_or_InActive == “Active”     POST-ACCUM @@sum_CAGS += p.Mbr_count;      PRINT ""Total Member Count of Active CAGs for "" + Client_name+ "" is "" + to_string(@@sum_CAGS);     PRINT @@sum_CAGS;     }"
7,following.,1800,https://community.tigergraph.com/t/how-to-sum-over-a-vertexs-attribute/630,"It will look a little like the following. I recommend the GSQL101 course to get a primer on what accumulators are and how they work. It is one of TG's super-powers!  `CREATE QUERY Member_Count_Active_CAGs(String Client_name) FOR GRAPH CAG_Contract_Graph{`      SumAccum <INT> @@sum_CAGS;      #Begin by initializing the set of all contracts     pp = {CAG.*};      #Get the number of specific type of CAG for a given client     pp = SELECT p     FROM pp:p      WHERE p.Search_Company == Client_name and p.Active_or_InActive == “Active”     POST-ACCUM @@sum_CAGS += p.Mbr_count;      PRINT ""Total Member Count of Active CAGs for "" + Client_name+ "" is "" + to_string(@@sum_CAGS);     PRINT @@sum_CAGS;     }"
8,I,1800,https://community.tigergraph.com/t/how-to-sum-over-a-vertexs-attribute/630,"It will look a little like the following. I recommend the GSQL101 course to get a primer on what accumulators are and how they work. It is one of TG's super-powers!  `CREATE QUERY Member_Count_Active_CAGs(String Client_name) FOR GRAPH CAG_Contract_Graph{`      SumAccum <INT> @@sum_CAGS;      #Begin by initializing the set of all contracts     pp = {CAG.*};      #Get the number of specific type of CAG for a given client     pp = SELECT p     FROM pp:p      WHERE p.Search_Company == Client_name and p.Active_or_InActive == “Active”     POST-ACCUM @@sum_CAGS += p.Mbr_count;      PRINT ""Total Member Count of Active CAGs for "" + Client_name+ "" is "" + to_string(@@sum_CAGS);     PRINT @@sum_CAGS;     }"
9,recommend,1800,https://community.tigergraph.com/t/how-to-sum-over-a-vertexs-attribute/630,"It will look a little like the following. I recommend the GSQL101 course to get a primer on what accumulators are and how they work. It is one of TG's super-powers!  `CREATE QUERY Member_Count_Active_CAGs(String Client_name) FOR GRAPH CAG_Contract_Graph{`      SumAccum <INT> @@sum_CAGS;      #Begin by initializing the set of all contracts     pp = {CAG.*};      #Get the number of specific type of CAG for a given client     pp = SELECT p     FROM pp:p      WHERE p.Search_Company == Client_name and p.Active_or_InActive == “Active”     POST-ACCUM @@sum_CAGS += p.Mbr_count;      PRINT ""Total Member Count of Active CAGs for "" + Client_name+ "" is "" + to_string(@@sum_CAGS);     PRINT @@sum_CAGS;     }"
